id,name,unit_price,category,img_url,create_at
856424535,(大杯)抹茶拿铁,21,45,http://fuss10.elemecdn.com/9/df/c42d9a98ae3f21234d6ae519d2406jpeg.jpeg,1542809128
856410694,(大杯)阿华田拿铁,19,45,http://fuss10.elemecdn.com/a/97/8aa27e7d6f7123c4338d931f6fff2jpeg.jpeg,1542809128
856387160,(中杯)阿华田拿铁,15,45,http://fuss10.elemecdn.com/a/97/8aa27e7d6f7123c4338d931f6fff2jpeg.jpeg,1542809128
856419400,(中杯)柠檬汁,12,47,http://fuss10.elemecdn.com/c/37/601f6a854680543e0732615fe45b6jpeg.jpeg,1542809128
856414717,(大杯)柠檬汁,15,46,http://fuss10.elemecdn.com/c/37/601f6a854680543e0732615fe45b6jpeg.jpeg,1542809128
856424557,(中杯)金桔柠檬,12,46,http://fuss10.elemecdn.com/9/78/54f535e0d0b30e78dd45f879d18edjpeg.jpeg,1542809128
856424540,(大杯)金桔柠檬,15,46,http://fuss10.elemecdn.com/9/78/54f535e0d0b30e78dd45f879d18edjpeg.jpeg,1542809128
856396684,(中杯)柠檬蜜,13,46,http://fuss10.elemecdn.com/8/38/d435f236bca2415908216ddf7ebabjpeg.jpeg,1542809128
856424565,(大杯)柠檬蜜,17,46,http://fuss10.elemecdn.com/8/38/d435f236bca2415908216ddf7ebabjpeg.jpeg,1542809128
856387269,(中杯)柠檬养乐多,15,46,http://fuss10.elemecdn.com/7/cc/f62f4841e1a69c864df528680d67djpeg.jpeg,1542809128
856419408,(大杯)柠檬养乐多,19,46,http://fuss10.elemecdn.com/7/cc/f62f4841e1a69c864df528680d67djpeg.jpeg,1542809128
856424544,(中杯)蜜茶,12,46,http://fuss10.elemecdn.com/d/d4/f8dbb43759b779a04a31a3f047829jpeg.jpeg,1542809128
856387228,(大杯)蜜茶,15,46,http://fuss10.elemecdn.com/d/d4/f8dbb43759b779a04a31a3f047829jpeg.jpeg,1542809128
987862090,"番茄(2人食,小火锅专用)",21,48,http://fuss10.elemecdn.com/7/7b/b3b72ed2c099051d5f09c3ff19dadjpeg.jpeg,1542809128
